timestamp,log_listener,fight_id,source_pilot,source_ship_type,source_ship_class,source_ship_tech,source_hull_rarity,source_alliance,source_corp,source_kind,target_pilot,target_ship_type,target_ship_class,target_ship_tech,target_hull_rarity,target_alliance,target_corp,target_kind,attempt_type,module,module_tech_level,module_meta_level,module_meta_group,result,origin_count,origin_log_files,origin_line_numbers,Log_file_original_line
2026.01.15 20:35:41,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,469;882,[ 2026.01.15 20:35:41 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:47:47,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1211;1687,[ 2026.01.15 20:47:47 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:50:11,0wnda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,3,20260115_202340_94865292.txt;20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,15;1327;1742,[ 2026.01.15 20:50:11 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:00:41,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,1922;2634,[ 2026.01.15 21:00:41 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:02:53,0wnda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_202340_94865292.txt,17,[ 2026.01.15 21:02:53 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:13:29,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,2754;3763,[ 2026.01.15 21:13:29 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:15:16,0wnda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_202340_94865292.txt,21,[ 2026.01.15 21:15:16 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 21:28:25,Ownda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_202337_2059311182.txt,4947,[ 2026.01.15 21:28:25 ] (combat) Warp scramble attempt from Arithmos Tyrannos to you!
2026.01.15 21:29:15,0wnda,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Arithmos Tyrannos,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,1,20260115_202340_94865292.txt,24,[ 2026.01.15 21:29:15 ] (combat) Warp scramble attempt from Arithmos Tyrannos to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:29:17,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,6,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,32;22;33;34;23;24,[ 2026.01.15 20:29:17 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:29:23,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,40;34,[ 2026.01.15 20:29:23 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:41:19,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,4,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,612;935;613;942,[ 2026.01.15 20:41:19 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
2026.01.15 20:41:21,Owndaworld,fight_001_15jan2026_20-29_TO_15jan2026_21-30,Emergent Sentinel,,,,,,,npc,Ownda,Revelation Navy Issue,Dreadnought,T1,Faction,ECHO.,INOU,player,Warp scramble attempt,,,,,Attempt,2,20260115_201152_1350587670.txt;20260115_202337_2059311182.txt,615;946,[ 2026.01.15 20:41:21 ] (combat) Warp scramble attempt from Emergent Sentinel to Revelation Navy Issue [ECHO.] [INOU] [Ownda] -
